# fast_drone 속도 시험 — PX4 SITL + gz_aero 공력 플러그인
# 기체: fast_missile (8.0 kg, d 0.15 m), 표: aero_placeholder.csv
# 바람: 0 0 0 (SDF 에 0 으로 박고 실행)
# 명령 고도 60 m, 방위 0 deg, 상승 15 / 가감속 30 / 유지 20 s
# 도구: gz_aero/tools/px4_speed_run_mav.py --speed 83.3 --alt 60
# 날짜: 2026-09-14
t_s,cmd_mps,meas_mps,alt_m
0,0.00,0.00,-0.0
1,0.00,0.01,-0.0
2,0.00,0.02,-0.0
3,0.00,0.03,-0.0
4,0.00,0.01,0.0
5,0.00,0.85,1.1
6,0.00,0.33,5.3
7,0.00,0.18,12.7
8,0.00,0.16,20.6
9,0.00,0.15,28.3
10,0.00,0.11,36.4
11,0.00,0.09,44.1
12,0.00,0.08,52.0
13,0.00,0.07,57.2
14,0.00,0.06,58.8
15,0.04,0.04,59.5
16,2.80,1.06,59.8
17,5.57,3.95,60.0
18,8.33,6.93,60.0
19,11.15,9.88,60.1
20,13.92,12.83,60.1
21,16.68,15.75,60.1
22,19.45,18.65,60.1
23,22.26,21.63,60.0
24,25.03,24.39,60.0
25,27.79,27.20,60.0
26,30.56,30.01,60.0
27,33.32,32.80,60.0
28,36.14,35.55,59.9
29,38.90,38.32,59.9
30,41.67,41.07,59.9
31,44.43,43.79,59.9
32,47.25,46.60,59.9
33,50.02,49.19,59.9
34,52.78,51.87,59.9
35,55.54,54.53,59.9
36,58.37,57.24,60.0
37,61.13,59.75,60.0
38,63.89,62.25,60.0
39,66.66,64.54,60.0
40,69.42,66.46,60.0
41,72.24,68.11,60.0
42,75.00,69.44,59.9
43,77.77,70.47,59.9
44,80.53,73.06,59.9
45,83.30,73.76,60.0
46,83.30,75.53,59.9
47,83.30,75.86,60.0
48,83.30,75.85,59.9
49,83.30,76.99,59.9
50,83.30,76.45,60.0
51,83.30,77.45,59.8
52,83.30,77.08,60.0
53,83.30,77.17,60.0
54,83.30,77.65,60.0
55,83.30,77.56,60.0
56,83.30,78.07,59.9
57,83.30,77.72,60.0
58,83.30,77.73,60.0
59,83.30,77.35,60.1
60,83.30,77.39,60.0
61,83.30,77.22,60.0
62,83.30,77.07,60.0
63,83.30,77.22,60.1
64,83.30,77.11,60.0
65,83.28,77.48,60.0
66,80.51,77.04,60.0
67,77.69,77.20,60.0
68,74.93,77.25,59.9
69,72.16,75.75,60.2
70,69.39,72.76,60.5
71,66.63,69.59,60.6
72,63.81,66.28,60.6
73,61.04,63.19,60.4
74,58.28,60.01,60.2
75,55.51,56.96,60.1
76,52.75,53.99,60.0
77,49.93,50.98,60.0
78,47.16,48.17,59.9
79,44.40,45.31,59.9
80,41.64,42.46,59.9
81,38.87,39.63,59.9
82,36.05,36.71,59.9
83,33.29,33.98,59.9
84,30.52,31.17,59.9
85,27.76,28.35,59.9
86,24.94,25.48,60.0
87,22.17,22.76,60.0
88,19.41,19.96,60.0
89,16.65,17.17,60.0
90,13.88,14.37,60.0
91,11.06,11.47,60.0
92,8.30,8.77,60.0
93,5.53,5.97,60.0
94,2.77,3.15,60.0
95,0.00,0.30,60.0
96,0.00,1.37,60.0
97,0.00,1.23,60.0
98,0.00,0.99,60.0
99,0.00,0.81,60.0
100,0.00,0.65,60.0
